"project","organization","location","latitude","longitude","buffer_radius_m","date_detected","field_of_view","scientific_name","common_name","species_rank","species_class","age_class","sex","number_individuals","id_by","daily_weather_station_nm","daily_weather_station_elevation","daily_weather_station_distance","daily_min_temp","daily_max_temp","daily_mean_temp","daily_total_rain_mm","daily_total_snow_cm","daily_precipitation_mm","daily_snow_on_ground_cm","hourly_weather_station_nm","hourly_weather_station_elevation","hourly_weather_station_distance","hourly_temp","hourly_dew_point","hourly_rel_humidity","hourly_precipitation_mm","hourly_wind_direction","hourly_wind_speed","hourly_visibility_km","hourly_station_pressure","hourly_humidex","hourly_wind_chill","hourly_weather_attributes","camera_make","camera_model","serial_number","image_comments","tag_comments"
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:16","START - First Good Image in FOV","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:17","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:17","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:20","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:20","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:21","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:22","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:24","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:25","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:25","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:26","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:30:27","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:24","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:24","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:25","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
